,Image,Angle,ouptut
0,v25/1.jpg,11.052125,right
1,v25/2.jpg,11.052125,up
2,v25/3.jpg,11.052125,up
3,v25/4.jpg,11.356255,right
4,v25/5.jpg,11.45928,right
5,v25/6.jpg,11.68797,right
6,v25/7.jpg,11.68797,up
7,v25/8.jpg,11.68797,up
8,v25/9.jpg,11.68797,up
9,v25/10.jpg,11.756375,right
10,v25/11.jpg,11.38274,left
11,v25/12.jpg,11.38274,up
12,v25/13.jpg,11.38274,up
13,v25/14.jpg,11.0865,left
14,v25/15.jpg,11.0865,up
15,v25/16.jpg,11.0865,up
16,v25/17.jpg,11.95749,right
17,v25/18.jpg,11.95749,up
18,v25/19.jpg,12.26411,right
19,v25/20.jpg,12.26411,up
20,v25/21.jpg,12.26411,up
21,v25/22.jpg,12.5,right
22,v25/23.jpg,12.5,up
23,v25/24.jpg,12.5,up
24,v25/25.jpg,12.5,up
25,v25/26.jpg,12.5,up
26,v25/27.jpg,12.5,up
27,v25/28.jpg,12.5,up
28,v25/29.jpg,12.5,up
29,v25/30.jpg,12.5,right
30,v25/31.jpg,12.5,up
31,v25/32.jpg,12.5,up
32,v25/33.jpg,12.5,up
33,v25/34.jpg,12.5,up
34,v25/35.jpg,12.5,up
35,v25/36.jpg,12.5,right
36,v25/37.jpg,12.5,up
37,v25/38.jpg,12.5,up
38,v25/39.jpg,12.5,up
39,v25/40.jpg,12.5,right
40,v25/41.jpg,10.543855,left
41,v25/42.jpg,10.543855,up
42,v25/43.jpg,10.543855,up
43,v25/44.jpg,10.543855,up
44,v25/45.jpg,10.66048,right
45,v25/46.jpg,10.66048,up
46,v25/47.jpg,10.772685,right
47,v25/48.jpg,10.94612,right
48,v25/49.jpg,10.94612,up
49,v25/50.jpg,10.94612,up
50,v25/51.jpg,10.94612,up
51,v25/52.jpg,10.94612,up
52,v25/53.jpg,11.322415,right
53,v25/54.jpg,11.322415,up
54,v25/55.jpg,11.322415,up
55,v25/56.jpg,11.322415,up
56,v25/57.jpg,11.322415,up
57,v25/58.jpg,11.322415,up
58,v25/59.jpg,11.009855,left
59,v25/60.jpg,11.009855,up
60,v25/61.jpg,11.009855,up
61,v25/62.jpg,11.009855,up
62,v25/63.jpg,10.81739,left
63,v25/64.jpg,10.352105,left
64,v25/65.jpg,10.352105,up
65,v25/66.jpg,9.828035,left
66,v25/67.jpg,9.828035,up
67,v25/68.jpg,9.828035,up
68,v25/69.jpg,9.828035,up
69,v25/70.jpg,9.828035,up
70,v25/71.jpg,9.828035,up
71,v25/72.jpg,9.828035,up
72,v25/73.jpg,9.828035,up
73,v25/74.jpg,9.828035,up
74,v25/75.jpg,9.301565,left
75,v25/76.jpg,9.301565,up
76,v25/77.jpg,9.301565,up
77,v25/78.jpg,9.301565,up
78,v25/79.jpg,9.301565,up
79,v25/80.jpg,9.301565,up
80,v25/81.jpg,9.301565,up
81,v25/82.jpg,10.3917,right
82,v25/83.jpg,10.3917,up
83,v25/84.jpg,10.3917,up
84,v25/85.jpg,10.90335,right
85,v25/86.jpg,10.90335,up
86,v25/87.jpg,11.21773,right
87,v25/88.jpg,11.21773,up
88,v25/89.jpg,11.21773,up
89,v25/90.jpg,11.21773,up
90,v25/91.jpg,11.21773,up
91,v25/92.jpg,11.21773,up
92,v25/93.jpg,10.75138,left
93,v25/94.jpg,10.75138,up
94,v25/95.jpg,10.75138,up
95,v25/96.jpg,10.75138,up
96,v25/97.jpg,10.75138,up
97,v25/98.jpg,10.983,right
98,v25/99.jpg,10.983,up
99,v25/100.jpg,11.213495,right
100,v25/101.jpg,11.213495,up
101,v25/102.jpg,11.213495,up
102,v25/103.jpg,11.213495,up
103,v25/104.jpg,11.213495,up
104,v25/105.jpg,11.213495,up
105,v25/106.jpg,11.213495,up
106,v25/107.jpg,11.213495,up
107,v25/108.jpg,11.213495,up
108,v25/109.jpg,11.213495,up
109,v25/110.jpg,11.213495,up
110,v25/111.jpg,11.213495,up
111,v25/112.jpg,11.569575,right
112,v25/113.jpg,11.569575,up
113,v25/114.jpg,11.569575,up
114,v25/115.jpg,12.00313,right
115,v25/116.jpg,12.00313,up
116,v25/117.jpg,12.00313,up
117,v25/118.jpg,12.00313,up
118,v25/119.jpg,12.00313,up
119,v25/120.jpg,12.00313,up
120,v25/121.jpg,12.00313,up
121,v25/122.jpg,12.00313,up
122,v25/123.jpg,12.00313,up
123,v25/124.jpg,12.5,right
124,v25/125.jpg,12.5,up
125,v25/126.jpg,12.5,up
126,v25/127.jpg,12.5,up
127,v25/128.jpg,12.5,right
128,v25/129.jpg,12.5,up
129,v25/130.jpg,11.893645,left
130,v25/131.jpg,11.893645,up
131,v25/132.jpg,11.893645,up
132,v25/133.jpg,11.893645,up
