,Image,Angle,ouptut
0,v24/1.jpg,11.01366,right
1,v24/2.jpg,10.99413,left
2,v24/3.jpg,11.043565,right
3,v24/4.jpg,11.043565,up
4,v24/5.jpg,11.128725,right
5,v24/6.jpg,11.234965,right
6,v24/7.jpg,11.595055,right
7,v24/8.jpg,11.60038,right
8,v24/9.jpg,11.678855,right
9,v24/10.jpg,11.684675,right
10,v24/11.jpg,11.684675,up
11,v24/12.jpg,11.684675,up
12,v24/13.jpg,11.682025,left
13,v24/14.jpg,11.633365,left
14,v24/15.jpg,10.995715,left
15,v24/16.jpg,10.995715,up
16,v24/17.jpg,10.995715,up
17,v24/18.jpg,10.6253,left
18,v24/19.jpg,10.6253,up
19,v24/20.jpg,10.643735,right
20,v24/21.jpg,10.643735,up
21,v24/22.jpg,10.643735,up
22,v24/23.jpg,10.643735,up
23,v24/24.jpg,10.643735,up
24,v24/25.jpg,10.643735,up
25,v24/26.jpg,10.65839,right
26,v24/27.jpg,10.87067,right
27,v24/28.jpg,10.87067,up
28,v24/29.jpg,10.87067,up
29,v24/30.jpg,10.87067,up
30,v24/31.jpg,10.5843,left
31,v24/32.jpg,10.5843,up
32,v24/33.jpg,10.5843,up
33,v24/34.jpg,10.27079,left
34,v24/35.jpg,10.27079,up
35,v24/36.jpg,10.27079,up
36,v24/37.jpg,10.27079,up
37,v24/38.jpg,10.27079,up
38,v24/39.jpg,10.051985,left
39,v24/40.jpg,10.051985,up
40,v24/41.jpg,10.051985,up
41,v24/42.jpg,10.051985,up
42,v24/43.jpg,10.051985,up
43,v24/44.jpg,10.051985,up
44,v24/45.jpg,10.051985,up
45,v24/46.jpg,10.051985,up
46,v24/47.jpg,10.051985,up
47,v24/48.jpg,10.83112,right
48,v24/49.jpg,10.83112,up
49,v24/50.jpg,11.02875,right
50,v24/51.jpg,11.02875,up
51,v24/52.jpg,11.02875,up
52,v24/53.jpg,11.02875,up
53,v24/54.jpg,11.02875,up
54,v24/55.jpg,11.02875,up
55,v24/56.jpg,10.59995,left
56,v24/57.jpg,10.59995,up
57,v24/58.jpg,10.59995,up
58,v24/59.jpg,10.59995,up
59,v24/60.jpg,11.154655,right
60,v24/61.jpg,11.154655,up
61,v24/62.jpg,11.154655,up
62,v24/63.jpg,10.37112,left
63,v24/64.jpg,10.37112,up
64,v24/65.jpg,10.37112,up
65,v24/66.jpg,10.37112,up
66,v24/67.jpg,10.37112,up
67,v24/68.jpg,10.469685,right
68,v24/69.jpg,10.469685,up
69,v24/70.jpg,10.469685,up
70,v24/71.jpg,10.469685,up
71,v24/72.jpg,11.063875,right
72,v24/73.jpg,11.063875,up
73,v24/74.jpg,11.063875,up
74,v24/75.jpg,10.668505,left
75,v24/76.jpg,10.668505,up
76,v24/77.jpg,10.668505,up
77,v24/78.jpg,10.668505,up
78,v24/79.jpg,10.668505,up
79,v24/80.jpg,10.931415,right
80,v24/81.jpg,11.15016,right
81,v24/82.jpg,11.15016,up
82,v24/83.jpg,11.15016,up
83,v24/84.jpg,11.15016,up
84,v24/85.jpg,11.15016,up
85,v24/86.jpg,11.03113,left
86,v24/87.jpg,10.808455,left
87,v24/88.jpg,10.646645,left
88,v24/89.jpg,10.646645,up
89,v24/90.jpg,10.646645,up
90,v24/91.jpg,10.646645,up
91,v24/92.jpg,10.646645,up
92,v24/93.jpg,10.646645,up
93,v24/94.jpg,10.646645,up
94,v24/95.jpg,10.646645,up
95,v24/96.jpg,10.646645,up
96,v24/97.jpg,10.955885,right
97,v24/98.jpg,10.955885,up
98,v24/99.jpg,10.955885,up
99,v24/100.jpg,10.672995,left
100,v24/101.jpg,10.672995,up
101,v24/102.jpg,10.672995,up
102,v24/103.jpg,10.672995,up
103,v24/104.jpg,10.672995,up
104,v24/105.jpg,10.672995,up
105,v24/106.jpg,10.672995,up
106,v24/107.jpg,10.672995,up
107,v24/108.jpg,10.672995,up
108,v24/109.jpg,10.24294,left
109,v24/110.jpg,10.24294,up
110,v24/111.jpg,10.24294,up
111,v24/112.jpg,10.24294,up
112,v24/113.jpg,10.694045,right
113,v24/114.jpg,10.8699,right
114,v24/115.jpg,10.8699,up
115,v24/116.jpg,10.8699,up
116,v24/117.jpg,10.242765,left
117,v24/118.jpg,10.242765,up
118,v24/119.jpg,10.242765,up
119,v24/120.jpg,10.242765,up
120,v24/121.jpg,10.242765,up
121,v24/122.jpg,9.896405,left
122,v24/123.jpg,9.896405,up
123,v24/124.jpg,9.896405,up
124,v24/125.jpg,9.896405,up
125,v24/126.jpg,9.896405,up
126,v24/127.jpg,9.896405,up
127,v24/128.jpg,10.074965,right
128,v24/129.jpg,10.47776,right
129,v24/130.jpg,10.61429,right
130,v24/131.jpg,10.729605,right
131,v24/132.jpg,10.729605,up
132,v24/133.jpg,10.96424,right
133,v24/134.jpg,10.96424,up
134,v24/135.jpg,10.96424,up
135,v24/136.jpg,10.96424,up
136,v24/137.jpg,10.96424,up
137,v24/138.jpg,10.96424,up
138,v24/139.jpg,11.11311,right
139,v24/140.jpg,11.11311,up
140,v24/141.jpg,11.11311,up
141,v24/142.jpg,11.11311,up
142,v24/143.jpg,11.11311,up
